date,time,occupancy
07/24/05,00:00:00,0
07/24/05,00:30:00,0
07/24/05,01:00:00,0
07/24/05,01:30:00,0
07/24/05,02:00:00,0
07/24/05,02:30:00,0
07/24/05,03:00:00,0
07/24/05,03:30:00,0
07/24/05,04:00:00,0
07/24/05,04:30:00,0
07/24/05,05:00:00,0
07/24/05,05:30:00,0
07/24/05,06:00:00,1
07/24/05,06:30:00,2
07/24/05,07:00:00,3
07/24/05,07:30:00,7
07/24/05,08:00:00,7
07/24/05,08:30:00,8
07/24/05,09:00:00,10
07/24/05,09:30:00,11
07/24/05,10:00:00,14
07/24/05,10:30:00,15
07/24/05,11:00:00,18
07/24/05,11:30:00,20
07/24/05,12:00:00,22
07/24/05,12:30:00,23
07/24/05,13:00:00,25
07/24/05,13:30:00,26
07/24/05,14:00:00,28
07/24/05,14:30:00,31
07/24/05,15:00:00,33
07/24/05,15:30:00,36
07/24/05,16:00:00,37
07/24/05,16:30:00,40
07/24/05,17:00:00,42
07/24/05,17:30:00,45
07/24/05,18:00:00,48
07/24/05,18:30:00,48
07/24/05,19:00:00,50
07/24/05,19:30:00,44
07/24/05,20:00:00,39
07/24/05,20:30:00,35
07/24/05,21:00:00,30
07/24/05,21:30:00,24
07/24/05,22:00:00,18
07/24/05,22:30:00,13
07/24/05,23:00:00,7
07/24/05,23:30:00,0
07/25/05,00:00:00,0
07/25/05,00:30:00,0
07/25/05,01:00:00,0
07/25/05,01:30:00,0
07/25/05,02:00:00,0
07/25/05,02:30:00,0
07/25/05,03:00:00,0
07/25/05,03:30:00,0
07/25/05,04:00:00,0
07/25/05,04:30:00,0
07/25/05,05:00:00,0
07/25/05,05:30:00,1
07/25/05,06:00:00,1
07/25/05,06:30:00,2
07/25/05,07:00:00,2
07/25/05,07:30:00,3
07/25/05,08:00:00,4
07/25/05,08:30:00,6
07/25/05,09:00:00,9
07/25/05,09:30:00,12
07/25/05,10:00:00,16
07/25/05,10:30:00,20
07/25/05,11:00:00,22
07/25/05,11:30:00,30
07/25/05,12:00:00,35
07/25/05,12:30:00,38
07/25/05,13:00:00,44
07/25/05,13:30:00,49
07/25/05,14:00:00,55
07/25/05,14:30:00,56
07/25/05,15:00:00,63
07/25/05,15:30:00,67
07/25/05,16:00:00,71
07/25/05,16:30:00,72
07/25/05,17:00:00,76
07/25/05,17:30:00,78
07/25/05,18:00:00,78
07/25/05,18:30:00,78
07/25/05,19:00:00,79
07/25/05,19:30:00,71
07/25/05,20:00:00,62
07/25/05,20:30:00,55
07/25/05,21:00:00,46
07/25/05,21:30:00,37
07/25/05,22:00:00,27
07/25/05,22:30:00,17
07/25/05,23:00:00,8
07/25/05,23:30:00,0
07/26/05,00:00:00,0
07/26/05,00:30:00,0
07/26/05,01:00:00,1
07/26/05,01:30:00,0
07/26/05,02:00:00,0
07/26/05,02:30:00,0
07/26/05,03:00:00,0
07/26/05,03:30:00,0
07/26/05,04:00:00,0
07/26/05,04:30:00,0
07/26/05,05:00:00,0
07/26/05,05:30:00,0
07/26/05,06:00:00,0
07/26/05,06:30:00,1
07/26/05,07:00:00,2
07/26/05,07:30:00,4
07/26/05,08:00:00,7
07/26/05,08:30:00,10
07/26/05,09:00:00,13
07/26/05,09:30:00,15
07/26/05,10:00:00,22
07/26/05,10:30:00,25
07/26/05,11:00:00,37
07/26/05,11:30:00,41
07/26/05,12:00:00,43
07/26/05,12:30:00,54
07/26/05,13:00:00,58
07/26/05,13:30:00,63
07/26/05,14:00:00,69
07/26/05,14:30:00,78
07/26/05,15:00:00,80
07/26/05,15:30:00,85
07/26/05,16:00:00,87
07/26/05,16:30:00,90
07/26/05,17:00:00,95
07/26/05,17:30:00,97
07/26/05,18:00:00,99
07/26/05,18:30:00,101
07/26/05,19:00:00,103
